DFEDTARL,,DFEDTARU,,RRPONTSYAWARD,,IORR,,Date,SOFR,EFFR,,,,
lin,"Percent, Not Seasonally Adjusted",lin,"Percent, Not Seasonally Adjusted",lin,"Percent, Not Seasonally Adjusted",lin,"Percent, Not Seasonally Adjusted",,,,,,,
d,"Daily, 7-Day",d,"Daily, 7-Day",d,Daily,d,"Daily, 7-Day",,,,,,,
12/16/2008,2008-12-16 to 2023-12-21,12/16/2008,2008-12-16 to 2023-12-21,9/23/2013,2013-09-23 to 2023-12-21,10/9/2008,2008-10-09 to 2021-07-28,,,,,,,
Federal Funds Target Range - Lower Limit,,Federal Funds Target Range - Upper Limit,,Overnight Reverse Repurchase Agreements Award Rate: Treasury Securities Sold by the Federal Reserve in the Temporary Open Market Operations,,Interest Rate on Required Reserves,,,sofr,effr,,,,
Board of Governors of the Federal Reserve System (US),,Board of Governors of the Federal Reserve System (US),,Federal Reserve Bank of New York,,Board of Governors of the Federal Reserve System (US),,,,,,,,
date,value,date,value,date,value,date,value,,,,,,, 
3/1/2016,0.25,3/1/2016,0.5,3/1/2016,0.25,3/1/2016,0.5,3/1/2016,NA,0.36,,0,,
3/2/2016,0.25,3/2/2016,0.5,3/2/2016,0.25,3/2/2016,0.5,3/2/2016,NA,0.37,,,,
3/3/2016,0.25,3/3/2016,0.5,3/3/2016,0.25,3/3/2016,0.5,3/3/2016,NA,0.37,,,,
3/4/2016,0.25,3/4/2016,0.5,3/4/2016,0.25,3/4/2016,0.5,3/4/2016,NA,0.36,,,,
3/5/2016,0.25,3/5/2016,0.5,3/7/2016,0.25,3/5/2016,0.5,3/7/2016,NA,0.36,,,,
3/6/2016,0.25,3/6/2016,0.5,3/8/2016,0.25,3/6/2016,0.5,3/8/2016,NA,0.36,,,,
3/7/2016,0.25,3/7/2016,0.5,3/9/2016,0.25,3/7/2016,0.5,3/9/2016,NA,0.36,,,,
3/8/2016,0.25,3/8/2016,0.5,3/10/2016,0.25,3/8/2016,0.5,3/10/2016,NA,0.36,,,,
3/9/2016,0.25,3/9/2016,0.5,3/11/2016,0.25,3/9/2016,0.5,3/11/2016,NA,0.36,,,,
3/10/2016,0.25,3/10/2016,0.5,3/14/2016,0.25,3/10/2016,0.5,3/14/2016,NA,0.36,,,,
3/11/2016,0.25,3/11/2016,0.5,3/15/2016,0.25,3/11/2016,0.5,3/15/2016,NA,0.37,,,,
3/12/2016,0.25,3/12/2016,0.5,3/16/2016,0.25,3/12/2016,0.5,3/16/2016,NA,0.37,,,,
3/13/2016,0.25,3/13/2016,0.5,3/17/2016,0.25,3/13/2016,0.5,3/17/2016,NA,0.37,,,,
3/14/2016,0.25,3/14/2016,0.5,3/18/2016,0.25,3/14/2016,0.5,3/18/2016,NA,0.37,,,,
3/15/2016,0.25,3/15/2016,0.5,3/21/2016,0.25,3/15/2016,0.5,3/21/2016,NA,0.37,,,,
3/16/2016,0.25,3/16/2016,0.5,3/22/2016,0.25,3/16/2016,0.5,3/22/2016,NA,0.37,,,,
3/17/2016,0.25,3/17/2016,0.5,3/23/2016,0.25,3/17/2016,0.5,3/23/2016,NA,0.37,,,,
3/18/2016,0.25,3/18/2016,0.5,3/24/2016,#N/A,3/18/2016,0.5,3/24/2016,NA,0.37,,,,
3/19/2016,0.25,3/19/2016,0.5,3/25/2016,#N/A,3/19/2016,0.5,3/25/2016,NA,0.37,,,,
3/20/2016,0.25,3/20/2016,0.5,3/28/2016,0.25,3/20/2016,0.5,3/28/2016,NA,0.37,,,,
3/21/2016,0.25,3/21/2016,0.5,3/29/2016,0.25,3/21/2016,0.5,3/29/2016,NA,0.37,,,,
3/22/2016,0.25,3/22/2016,0.5,3/30/2016,0.25,3/22/2016,0.5,3/30/2016,NA,0.37,,,,
3/23/2016,0.25,3/23/2016,0.5,3/31/2016,0.25,3/23/2016,0.5,3/31/2016,NA,0.25,,,,
3/24/2016,0.25,3/24/2016,0.5,4/1/2016,0.25,3/24/2016,0.5,4/1/2016,NA,0.37,,,,
3/25/2016,0.25,3/25/2016,0.5,4/4/2016,0.25,3/25/2016,0.5,4/4/2016,NA,0.37,,,,
3/26/2016,0.25,3/26/2016,0.5,4/5/2016,0.25,3/26/2016,0.5,4/5/2016,NA,0.37,,,,
3/27/2016,0.25,3/27/2016,0.5,4/6/2016,0.25,3/27/2016,0.5,4/6/2016,NA,0.37,,,,
3/28/2016,0.25,3/28/2016,0.5,4/7/2016,0.25,3/28/2016,0.5,4/7/2016,NA,0.37,,,,
3/29/2016,0.25,3/29/2016,0.5,4/8/2016,0.25,3/29/2016,0.5,4/8/2016,NA,0.37,,,,
3/30/2016,0.25,3/30/2016,0.5,4/11/2016,0.25,3/30/2016,0.5,4/11/2016,NA,0.37,,,,
3/31/2016,0.25,3/31/2016,0.5,4/12/2016,0.25,3/31/2016,0.5,4/12/2016,NA,0.37,,,,
4/1/2016,0.25,4/1/2016,0.5,4/13/2016,0.25,4/1/2016,0.5,4/13/2016,NA,0.37,,,,
4/2/2016,0.25,4/2/2016,0.5,4/14/2016,0.25,4/2/2016,0.5,4/14/2016,NA,0.37,,,,
4/3/2016,0.25,4/3/2016,0.5,4/15/2016,0.25,4/3/2016,0.5,4/15/2016,NA,0.37,,,,
4/4/2016,0.25,4/4/2016,0.5,4/18/2016,0.25,4/4/2016,0.5,4/18/2016,NA,0.37,,,,
4/5/2016,0.25,4/5/2016,0.5,4/19/2016,0.25,4/5/2016,0.5,4/19/2016,NA,0.37,,,,
4/6/2016,0.25,4/6/2016,0.5,4/20/2016,0.25,4/6/2016,0.5,4/20/2016,NA,0.37,,,,
4/7/2016,0.25,4/7/2016,0.5,4/21/2016,0.25,4/7/2016,0.5,4/21/2016,NA,0.37,,,,
4/8/2016,0.25,4/8/2016,0.5,4/22/2016,0.25,4/8/2016,0.5,4/22/2016,NA,0.37,,,,
4/9/2016,0.25,4/9/2016,0.5,4/25/2016,0.25,4/9/2016,0.5,4/25/2016,NA,0.37,,,,
4/10/2016,0.25,4/10/2016,0.5,4/26/2016,0.25,4/10/2016,0.5,4/26/2016,NA,0.37,,,,
4/11/2016,0.25,4/11/2016,0.5,4/27/2016,0.25,4/11/2016,0.5,4/27/2016,NA,0.37,,,,
4/12/2016,0.25,4/12/2016,0.5,4/28/2016,0.25,4/12/2016,0.5,4/28/2016,NA,0.37,,,,
4/13/2016,0.25,4/13/2016,0.5,4/29/2016,0.25,4/13/2016,0.5,4/29/2016,NA,0.3,,,,
4/14/2016,0.25,4/14/2016,0.5,5/2/2016,0.25,4/14/2016,0.5,5/2/2016,NA,0.37,,,,
4/15/2016,0.25,4/15/2016,0.5,5/3/2016,0.25,4/15/2016,0.5,5/3/2016,NA,0.37,,,,
4/16/2016,0.25,4/16/2016,0.5,5/4/2016,0.25,4/16/2016,0.5,5/4/2016,NA,0.37,,,,
4/17/2016,0.25,4/17/2016,0.5,5/5/2016,0.25,4/17/2016,0.5,5/5/2016,NA,0.37,,,,
4/18/2016,0.25,4/18/2016,0.5,5/6/2016,0.25,4/18/2016,0.5,5/6/2016,NA,0.37,,,,
4/19/2016,0.25,4/19/2016,0.5,5/9/2016,0.25,4/19/2016,0.5,5/9/2016,NA,0.37,,,,
4/20/2016,0.25,4/20/2016,0.5,5/10/2016,0.25,4/20/2016,0.5,5/10/2016,NA,0.37,,,,
4/21/2016,0.25,4/21/2016,0.5,5/11/2016,0.25,4/21/2016,0.5,5/11/2016,NA,0.37,,,,
4/22/2016,0.25,4/22/2016,0.5,5/12/2016,0.25,4/22/2016,0.5,5/12/2016,NA,0.37,,,,
4/23/2016,0.25,4/23/2016,0.5,5/13/2016,0.25,4/23/2016,0.5,5/13/2016,NA,0.37,,,,
4/24/2016,0.25,4/24/2016,0.5,5/16/2016,0.25,4/24/2016,0.5,5/16/2016,NA,0.37,,,,
4/25/2016,0.25,4/25/2016,0.5,5/17/2016,0.25,4/25/2016,0.5,5/17/2016,NA,0.37,,,,
4/26/2016,0.25,4/26/2016,0.5,5/18/2016,0.25,4/26/2016,0.5,5/18/2016,NA,0.37,,,,
4/27/2016,0.25,4/27/2016,0.5,5/19/2016,0.25,4/27/2016,0.5,5/19/2016,NA,0.37,,,,
4/28/2016,0.25,4/28/2016,0.5,5/20/2016,0.25,4/28/2016,0.5,5/20/2016,NA,0.37,,,,
4/29/2016,0.25,4/29/2016,0.5,5/23/2016,0.25,4/29/2016,0.5,5/23/2016,NA,0.37,,,,
4/30/2016,0.25,4/30/2016,0.5,5/24/2016,0.25,4/30/2016,0.5,5/24/2016,NA,0.37,,,,
5/1/2016,0.25,5/1/2016,0.5,5/25/2016,0.25,5/1/2016,0.5,5/25/2016,NA,0.37,,,,
5/2/2016,0.25,5/2/2016,0.5,5/26/2016,0.25,5/2/2016,0.5,5/26/2016,NA,0.37,,,,
5/3/2016,0.25,5/3/2016,0.5,5/27/2016,0.25,5/3/2016,0.5,5/27/2016,NA,0.37,,,,
5/4/2016,0.25,5/4/2016,0.5,5/30/2016,#N/A,5/4/2016,0.5,5/31/2016,NA,0.29,,,,
5/5/2016,0.25,5/5/2016,0.5,5/31/2016,0.25,5/5/2016,0.5,6/1/2016,NA,0.37,,,,
5/6/2016,0.25,5/6/2016,0.5,6/1/2016,0.25,5/6/2016,0.5,6/2/2016,NA,0.37,,,,
5/7/2016,0.25,5/7/2016,0.5,6/2/2016,0.25,5/7/2016,0.5,6/3/2016,NA,0.37,,,,
5/8/2016,0.25,5/8/2016,0.5,6/3/2016,0.25,5/8/2016,0.5,6/6/2016,NA,0.37,,,,
5/9/2016,0.25,5/9/2016,0.5,6/6/2016,0.25,5/9/2016,0.5,6/7/2016,NA,0.37,,,,
5/10/2016,0.25,5/10/2016,0.5,6/7/2016,0.25,5/10/2016,0.5,6/8/2016,NA,0.37,,,,
5/11/2016,0.25,5/11/2016,0.5,6/8/2016,0.25,5/11/2016,0.5,6/9/2016,NA,0.37,,,,
5/12/2016,0.25,5/12/2016,0.5,6/9/2016,0.25,5/12/2016,0.5,6/10/2016,NA,0.37,,,,
5/13/2016,0.25,5/13/2016,0.5,6/10/2016,0.25,5/13/2016,0.5,6/13/2016,NA,0.37,,,,
5/14/2016,0.25,5/14/2016,0.5,6/13/2016,0.25,5/14/2016,0.5,6/14/2016,NA,0.37,,,,
5/15/2016,0.25,5/15/2016,0.5,6/14/2016,0.25,5/15/2016,0.5,6/15/2016,NA,0.37,,,,
5/16/2016,0.25,5/16/2016,0.5,6/15/2016,0.25,5/16/2016,0.5,6/16/2016,NA,0.38,,,,
5/17/2016,0.25,5/17/2016,0.5,6/16/2016,0.25,5/17/2016,0.5,6/17/2016,NA,0.38,,,,
5/18/2016,0.25,5/18/2016,0.5,6/17/2016,0.25,5/18/2016,0.5,6/20/2016,NA,0.38,,,,
5/19/2016,0.25,5/19/2016,0.5,6/20/2016,0.25,5/19/2016,0.5,6/21/2016,NA,0.38,,,,
5/20/2016,0.25,5/20/2016,0.5,6/21/2016,0.25,5/20/2016,0.5,6/22/2016,NA,0.38,,,,
5/21/2016,0.25,5/21/2016,0.5,6/22/2016,0.25,5/21/2016,0.5,6/23/2016,NA,0.39,,,,
5/22/2016,0.25,5/22/2016,0.5,6/23/2016,0.25,5/22/2016,0.5,6/24/2016,NA,0.4,,,,
5/23/2016,0.25,5/23/2016,0.5,6/24/2016,0.25,5/23/2016,0.5,6/27/2016,NA,0.41,,,,
5/24/2016,0.25,5/24/2016,0.5,6/27/2016,0.25,5/24/2016,0.5,6/28/2016,NA,0.41,,,,
5/25/2016,0.25,5/25/2016,0.5,6/28/2016,0.25,5/25/2016,0.5,6/29/2016,NA,0.41,,,,
5/26/2016,0.25,5/26/2016,0.5,6/29/2016,0.25,5/26/2016,0.5,6/30/2016,NA,0.3,,,,
5/27/2016,0.25,5/27/2016,0.5,6/30/2016,0.25,5/27/2016,0.5,7/1/2016,NA,0.41,,,,
5/28/2016,0.25,5/28/2016,0.5,7/1/2016,0.25,5/28/2016,0.5,7/5/2016,NA,0.4,,,,
5/29/2016,0.25,5/29/2016,0.5,7/4/2016,#N/A,5/29/2016,0.5,7/6/2016,NA,0.4,,,,
5/30/2016,0.25,5/30/2016,0.5,7/5/2016,0.25,5/30/2016,0.5,7/7/2016,NA,0.4,,,,
5/31/2016,0.25,5/31/2016,0.5,7/6/2016,0.25,5/31/2016,0.5,7/8/2016,NA,0.4,,,,
6/1/2016,0.25,6/1/2016,0.5,7/7/2016,0.25,6/1/2016,0.5,7/11/2016,NA,0.4,,,,
6/2/2016,0.25,6/2/2016,0.5,7/8/2016,0.25,6/2/2016,0.5,7/12/2016,NA,0.4,,,,
6/3/2016,0.25,6/3/2016,0.5,7/11/2016,0.25,6/3/2016,0.5,7/13/2016,NA,0.4,,,,
6/4/2016,0.25,6/4/2016,0.5,7/12/2016,0.25,6/4/2016,0.5,7/14/2016,NA,0.4,,,,
6/5/2016,0.25,6/5/2016,0.5,7/13/2016,0.25,6/5/2016,0.5,7/15/2016,NA,0.4,,,,
6/6/2016,0.25,6/6/2016,0.5,7/14/2016,0.25,6/6/2016,0.5,7/18/2016,NA,0.4,,,,
6/7/2016,0.25,6/7/2016,0.5,7/15/2016,0.25,6/7/2016,0.5,7/19/2016,NA,0.4,,,,
6/8/2016,0.25,6/8/2016,0.5,7/18/2016,0.25,6/8/2016,0.5,7/20/2016,NA,0.4,,,,
6/9/2016,0.25,6/9/2016,0.5,7/19/2016,0.25,6/9/2016,0.5,7/21/2016,NA,0.4,,,,
6/10/2016,0.25,6/10/2016,0.5,7/20/2016,0.25,6/10/2016,0.5,7/22/2016,NA,0.4,,,,
6/11/2016,0.25,6/11/2016,0.5,7/21/2016,0.25,6/11/2016,0.5,7/25/2016,NA,0.4,,,,
6/12/2016,0.25,6/12/2016,0.5,7/22/2016,0.25,6/12/2016,0.5,7/26/2016,NA,0.4,,,,
6/13/2016,0.25,6/13/2016,0.5,7/25/2016,0.25,6/13/2016,0.5,7/27/2016,NA,0.4,,,,
6/14/2016,0.25,6/14/2016,0.5,7/26/2016,0.25,6/14/2016,0.5,7/28/2016,NA,0.4,,,,
6/15/2016,0.25,6/15/2016,0.5,7/27/2016,0.25,6/15/2016,0.5,7/29/2016,NA,0.3,,,,
6/16/2016,0.25,6/16/2016,0.5,7/28/2016,0.25,6/16/2016,0.5,8/1/2016,NA,0.4,,,,
6/17/2016,0.25,6/17/2016,0.5,7/29/2016,0.25,6/17/2016,0.5,8/2/2016,NA,0.4,,,,
6/18/2016,0.25,6/18/2016,0.5,8/1/2016,0.25,6/18/2016,0.5,8/3/2016,NA,0.4,,,,
6/19/2016,0.25,6/19/2016,0.5,8/2/2016,0.25,6/19/2016,0.5,8/4/2016,NA,0.4,,,,
6/20/2016,0.25,6/20/2016,0.5,8/3/2016,0.25,6/20/2016,0.5,8/5/2016,NA,0.4,,,,
6/21/2016,0.25,6/21/2016,0.5,8/4/2016,0.25,6/21/2016,0.5,8/8/2016,NA,0.4,,,,
6/22/2016,0.25,6/22/2016,0.5,8/5/2016,0.25,6/22/2016,0.5,8/9/2016,NA,0.4,,,,
6/23/2016,0.25,6/23/2016,0.5,8/8/2016,0.25,6/23/2016,0.5,8/10/2016,NA,0.4,,,,
6/24/2016,0.25,6/24/2016,0.5,8/9/2016,0.25,6/24/2016,0.5,8/11/2016,NA,0.4,,,,
6/25/2016,0.25,6/25/2016,0.5,8/10/2016,0.25,6/25/2016,0.5,8/12/2016,NA,0.4,,,,
6/26/2016,0.25,6/26/2016,0.5,8/11/2016,0.25,6/26/2016,0.5,8/15/2016,NA,0.4,,,,
6/27/2016,0.25,6/27/2016,0.5,8/12/2016,0.25,6/27/2016,0.5,8/16/2016,NA,0.4,,,,
6/28/2016,0.25,6/28/2016,0.5,8/15/2016,0.25,6/28/2016,0.5,8/17/2016,NA,0.4,,,,
6/29/2016,0.25,6/29/2016,0.5,8/16/2016,0.25,6/29/2016,0.5,8/18/2016,NA,0.4,,,,
6/30/2016,0.25,6/30/2016,0.5,8/17/2016,0.25,6/30/2016,0.5,8/19/2016,NA,0.4,,,,
7/1/2016,0.25,7/1/2016,0.5,8/18/2016,0.25,7/1/2016,0.5,8/22/2016,NA,0.4,,,,
7/2/2016,0.25,7/2/2016,0.5,8/19/2016,0.25,7/2/2016,0.5,8/23/2016,NA,0.4,,,,
7/3/2016,0.25,7/3/2016,0.5,8/22/2016,0.25,7/3/2016,0.5,8/24/2016,NA,0.4,,,,
7/4/2016,0.25,7/4/2016,0.5,8/23/2016,0.25,7/4/2016,0.5,8/25/2016,NA,0.4,,,,
7/5/2016,0.25,7/5/2016,0.5,8/24/2016,0.25,7/5/2016,0.5,8/26/2016,NA,0.4,,,,
7/6/2016,0.25,7/6/2016,0.5,8/25/2016,0.25,7/6/2016,0.5,8/29/2016,NA,0.4,,,,
7/7/2016,0.25,7/7/2016,0.5,8/26/2016,0.25,7/7/2016,0.5,8/30/2016,NA,0.4,,,,
7/8/2016,0.25,7/8/2016,0.5,8/29/2016,0.25,7/8/2016,0.5,8/31/2016,NA,0.3,,,,
7/9/2016,0.25,7/9/2016,0.5,8/30/2016,0.25,7/9/2016,0.5,9/1/2016,NA,0.4,,,,
7/10/2016,0.25,7/10/2016,0.5,8/31/2016,0.25,7/10/2016,0.5,9/2/2016,NA,0.4,,,,
7/11/2016,0.25,7/11/2016,0.5,9/1/2016,0.25,7/11/2016,0.5,9/6/2016,NA,0.4,,,,
7/12/2016,0.25,7/12/2016,0.5,9/2/2016,0.25,7/12/2016,0.5,9/7/2016,NA,0.4,,,,
7/13/2016,0.25,7/13/2016,0.5,9/5/2016,#N/A,7/13/2016,0.5,9/8/2016,NA,0.4,,,,
7/14/2016,0.25,7/14/2016,0.5,9/6/2016,0.25,7/14/2016,0.5,9/9/2016,NA,0.4,,,,
7/15/2016,0.25,7/15/2016,0.5,9/7/2016,0.25,7/15/2016,0.5,9/12/2016,NA,0.4,,,,
7/16/2016,0.25,7/16/2016,0.5,9/8/2016,0.25,7/16/2016,0.5,9/13/2016,NA,0.4,,,,
7/17/2016,0.25,7/17/2016,0.5,9/9/2016,0.25,7/17/2016,0.5,9/14/2016,NA,0.4,,,,
7/18/2016,0.25,7/18/2016,0.5,9/12/2016,0.25,7/18/2016,0.5,9/15/2016,NA,0.4,,,,
7/19/2016,0.25,7/19/2016,0.5,9/13/2016,0.25,7/19/2016,0.5,9/16/2016,NA,0.4,,,,
7/20/2016,0.25,7/20/2016,0.5,9/14/2016,0.25,7/20/2016,0.5,9/19/2016,NA,0.4,,,,
7/21/2016,0.25,7/21/2016,0.5,9/15/2016,0.25,7/21/2016,0.5,9/20/2016,NA,0.4,,,,
7/22/2016,0.25,7/22/2016,0.5,9/16/2016,0.25,7/22/2016,0.5,9/21/2016,NA,0.4,,,,
7/23/2016,0.25,7/23/2016,0.5,9/19/2016,0.25,7/23/2016,0.5,9/22/2016,NA,0.4,,,,
7/24/2016,0.25,7/24/2016,0.5,9/20/2016,0.25,7/24/2016,0.5,9/23/2016,NA,0.4,,,,
7/25/2016,0.25,7/25/2016,0.5,9/21/2016,0.25,7/25/2016,0.5,9/26/2016,NA,0.4,,,,
7/26/2016,0.25,7/26/2016,0.5,9/22/2016,0.25,7/26/2016,0.5,9/27/2016,NA,0.4,,,,
7/27/2016,0.25,7/27/2016,0.5,9/23/2016,0.25,7/27/2016,0.5,9/28/2016,NA,0.4,,,,
7/28/2016,0.25,7/28/2016,0.5,9/26/2016,0.25,7/28/2016,0.5,9/29/2016,NA,0.4,,,,
7/29/2016,0.25,7/29/2016,0.5,9/27/2016,0.25,7/29/2016,0.5,9/30/2016,NA,0.29,,,,
7/30/2016,0.25,7/30/2016,0.5,9/28/2016,0.25,7/30/2016,0.5,10/3/2016,NA,0.4,,,,
7/31/2016,0.25,7/31/2016,0.5,9/29/2016,0.25,7/31/2016,0.5,10/4/2016,NA,0.4,,,,
8/1/2016,0.25,8/1/2016,0.5,9/30/2016,0.25,8/1/2016,0.5,10/5/2016,NA,0.4,,,,
8/2/2016,0.25,8/2/2016,0.5,10/3/2016,0.25,8/2/2016,0.5,10/6/2016,NA,0.4,,,,
8/3/2016,0.25,8/3/2016,0.5,10/4/2016,0.25,8/3/2016,0.5,10/7/2016,NA,0.4,,,,
8/4/2016,0.25,8/4/2016,0.5,10/5/2016,0.25,8/4/2016,0.5,10/11/2016,NA,0.41,,,,
8/5/2016,0.25,8/5/2016,0.5,10/6/2016,0.25,8/5/2016,0.5,10/12/2016,NA,0.41,,,,
8/6/2016,0.25,8/6/2016,0.5,10/7/2016,0.25,8/6/2016,0.5,10/13/2016,NA,0.41,,,,
8/7/2016,0.25,8/7/2016,0.5,10/10/2016,#N/A,8/7/2016,0.5,10/14/2016,NA,0.41,,,,
8/8/2016,0.25,8/8/2016,0.5,10/11/2016,0.25,8/8/2016,0.5,10/17/2016,NA,0.41,,,,
8/9/2016,0.25,8/9/2016,0.5,10/12/2016,0.25,8/9/2016,0.5,10/18/2016,NA,0.41,,,,
8/10/2016,0.25,8/10/2016,0.5,10/13/2016,0.25,8/10/2016,0.5,10/19/2016,NA,0.41,,,,
8/11/2016,0.25,8/11/2016,0.5,10/14/2016,0.25,8/11/2016,0.5,10/20/2016,NA,0.41,,,,
8/12/2016,0.25,8/12/2016,0.5,10/17/2016,0.25,8/12/2016,0.5,10/21/2016,NA,0.41,,,,
8/13/2016,0.25,8/13/2016,0.5,10/18/2016,0.25,8/13/2016,0.5,10/24/2016,NA,0.41,,,,
8/14/2016,0.25,8/14/2016,0.5,10/19/2016,0.25,8/14/2016,0.5,10/25/2016,NA,0.41,,,,
8/15/2016,0.25,8/15/2016,0.5,10/20/2016,0.25,8/15/2016,0.5,10/26/2016,NA,0.41,,,,
8/16/2016,0.25,8/16/2016,0.5,10/21/2016,0.25,8/16/2016,0.5,10/27/2016,NA,0.41,,,,
8/17/2016,0.25,8/17/2016,0.5,10/24/2016,0.25,8/17/2016,0.5,10/28/2016,NA,0.41,,,,
8/18/2016,0.25,8/18/2016,0.5,10/25/2016,0.25,8/18/2016,0.5,10/31/2016,NA,0.31,,,,
8/19/2016,0.25,8/19/2016,0.5,10/26/2016,0.25,8/19/2016,0.5,11/1/2016,NA,0.41,,,,
8/20/2016,0.25,8/20/2016,0.5,10/27/2016,0.25,8/20/2016,0.5,11/2/2016,NA,0.41,,,,
8/21/2016,0.25,8/21/2016,0.5,10/28/2016,0.25,8/21/2016,0.5,11/3/2016,NA,0.41,,,,
8/22/2016,0.25,8/22/2016,0.5,10/31/2016,0.25,8/22/2016,0.5,11/4/2016,NA,0.41,,,,
8/23/2016,0.25,8/23/2016,0.5,11/1/2016,0.25,8/23/2016,0.5,11/7/2016,NA,0.41,,,,
8/24/2016,0.25,8/24/2016,0.5,11/2/2016,0.25,8/24/2016,0.5,11/8/2016,NA,0.41,,,,
8/25/2016,0.25,8/25/2016,0.5,11/3/2016,0.25,8/25/2016,0.5,11/9/2016,NA,0.41,,,,
8/26/2016,0.25,8/26/2016,0.5,11/4/2016,0.25,8/26/2016,0.5,11/10/2016,NA,0.41,,,,
8/27/2016,0.25,8/27/2016,0.5,11/7/2016,0.25,8/27/2016,0.5,11/14/2016,NA,0.41,,,,
8/28/2016,0.25,8/28/2016,0.5,11/8/2016,0.25,8/28/2016,0.5,11/15/2016,NA,0.41,,,,
8/29/2016,0.25,8/29/2016,0.5,11/9/2016,0.25,8/29/2016,0.5,11/16/2016,NA,0.41,,,,
8/30/2016,0.25,8/30/2016,0.5,11/10/2016,0.25,8/30/2016,0.5,11/17/2016,NA,0.41,,,,
8/31/2016,0.25,8/31/2016,0.5,11/11/2016,#N/A,8/31/2016,0.5,11/18/2016,NA,0.41,,,,
9/1/2016,0.25,9/1/2016,0.5,11/14/2016,0.25,9/1/2016,0.5,11/21/2016,NA,0.41,,,,
9/2/2016,0.25,9/2/2016,0.5,11/15/2016,0.25,9/2/2016,0.5,11/22/2016,NA,0.41,,,,
9/3/2016,0.25,9/3/2016,0.5,11/16/2016,0.25,9/3/2016,0.5,11/23/2016,NA,0.41,,,,
9/4/2016,0.25,9/4/2016,0.5,11/17/2016,0.25,9/4/2016,0.5,11/25/2016,NA,0.41,,,,
9/5/2016,0.25,9/5/2016,0.5,11/18/2016,0.25,9/5/2016,0.5,11/28/2016,NA,0.41,,,,
9/6/2016,0.25,9/6/2016,0.5,11/21/2016,0.25,9/6/2016,0.5,11/29/2016,NA,0.41,,,,
9/7/2016,0.25,9/7/2016,0.5,11/22/2016,0.25,9/7/2016,0.5,11/30/2016,NA,0.31,,,,
9/8/2016,0.25,9/8/2016,0.5,11/23/2016,0.25,9/8/2016,0.5,12/1/2016,NA,0.41,,,,
9/9/2016,0.25,9/9/2016,0.5,11/24/2016,#N/A,9/9/2016,0.5,12/2/2016,NA,0.41,,,,
9/10/2016,0.25,9/10/2016,0.5,11/25/2016,0.25,9/10/2016,0.5,12/5/2016,NA,0.41,,,,
9/11/2016,0.25,9/11/2016,0.5,11/28/2016,0.25,9/11/2016,0.5,12/6/2016,NA,0.41,,,,
9/12/2016,0.25,9/12/2016,0.5,11/29/2016,0.25,9/12/2016,0.5,12/7/2016,NA,0.41,,,,
9/13/2016,0.25,9/13/2016,0.5,11/30/2016,0.25,9/13/2016,0.5,12/8/2016,NA,0.41,,,,
9/14/2016,0.25,9/14/2016,0.5,12/1/2016,0.25,9/14/2016,0.5,12/9/2016,NA,0.41,,,,
9/15/2016,0.25,9/15/2016,0.5,12/2/2016,0.25,9/15/2016,0.5,12/12/2016,NA,0.41,,,,
9/16/2016,0.25,9/16/2016,0.5,12/5/2016,0.25,9/16/2016,0.5,12/13/2016,NA,0.41,,,,
9/17/2016,0.25,9/17/2016,0.5,12/6/2016,0.25,9/17/2016,0.5,12/14/2016,NA,0.41,,,,
9/18/2016,0.25,9/18/2016,0.5,12/7/2016,0.25,9/18/2016,0.5,12/15/2016,NA,0.66,,,,
9/19/2016,0.25,9/19/2016,0.5,12/8/2016,0.25,9/19/2016,0.5,12/16/2016,NA,0.66,,,,
9/20/2016,0.25,9/20/2016,0.5,12/9/2016,0.25,9/20/2016,0.5,12/19/2016,NA,0.66,,,,
9/21/2016,0.25,9/21/2016,0.5,12/12/2016,0.25,9/21/2016,0.5,12/20/2016,NA,0.66,,,,
9/22/2016,0.25,9/22/2016,0.5,12/13/2016,0.25,9/22/2016,0.5,12/21/2016,NA,0.66,,,,
9/23/2016,0.25,9/23/2016,0.5,12/14/2016,0.25,9/23/2016,0.5,12/22/2016,NA,0.66,,,,
9/24/2016,0.25,9/24/2016,0.5,12/15/2016,0.5,9/24/2016,0.5,12/23/2016,NA,0.66,,,,
9/25/2016,0.25,9/25/2016,0.5,12/16/2016,0.5,9/25/2016,0.5,12/27/2016,NA,0.66,,,,
9/26/2016,0.25,9/26/2016,0.5,12/19/2016,0.5,9/26/2016,0.5,12/28/2016,NA,0.66,,,,
9/27/2016,0.25,9/27/2016,0.5,12/20/2016,0.5,9/27/2016,0.5,12/29/2016,NA,0.66,,,,
9/28/2016,0.25,9/28/2016,0.5,12/21/2016,0.5,9/28/2016,0.5,12/30/2016,NA,0.55,,,,
9/29/2016,0.25,9/29/2016,0.5,12/22/2016,0.5,9/29/2016,0.5,1/3/2017,NA,0.66,,,,
9/30/2016,0.25,9/30/2016,0.5,12/23/2016,0.5,9/30/2016,0.5,1/4/2017,NA,0.66,,,,
10/1/2016,0.25,10/1/2016,0.5,12/26/2016,#N/A,10/1/2016,0.5,1/5/2017,NA,0.66,,,,
10/2/2016,0.25,10/2/2016,0.5,12/27/2016,0.5,10/2/2016,0.5,1/6/2017,NA,0.66,,,,
10/3/2016,0.25,10/3/2016,0.5,12/28/2016,0.5,10/3/2016,0.5,1/9/2017,NA,0.66,,,,
